1741224446.048572311 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224446.061649576 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=27.2 ms
1741224446.226588920 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=104 ms
1741224446.378663003 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=148 ms
1741224446.487284205 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=159 ms
1741224446.583712160 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=154 ms
1741224446.681474142 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=148 ms
1741224446.776587071 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=142 ms
1741224446.827039094 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=89.7 ms
1741224446.934447271 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=95.2 ms
1741224447.040194415 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=102 ms
1741224447.168188011 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=128 ms
1741224447.285102381 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=138 ms
1741224447.403384779 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=150 ms
1741224447.480690346 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=130 ms
1741224447.601425794 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=150 ms
1741224447.702188837 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=151 ms
1741224447.799771816 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=141 ms
1741224447.898410815 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=145 ms
1741224448.014628172 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=157 ms
1741224448.117979267 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=159 ms
1741224448.206398059 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=148 ms
1741224448.299041937 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=135 ms
