1741223949.358660617 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741223949.371920886 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=25.7 ms
1741223949.550943515 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=117 ms
1741223950.201672706 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=144 ms
1741223950.298098661 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=138 ms
1741223950.385442432 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=128 ms
1741223950.556241894 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=94.1 ms
1741223950.668952180 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=107 ms
1741223950.766646160 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=105 ms
1741223950.871669290 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=108 ms
1741223950.981405514 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=111 ms
1741223951.080319519 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=114 ms
1741223951.196203868 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=127 ms
1741223951.284217652 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=114 ms
1741223951.388990776 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=118 ms
1741223951.496966965 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=123 ms
1741223951.612628310 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=133 ms
1741223951.718030446 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=137 ms
1741223951.813054374 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=133 ms
1741223951.925531654 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=145 ms
1741223952.032246817 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=150 ms
1741223952.138734976 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=153 ms
1741223952.237581980 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=149 ms
1741223952.339468045 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=154 ms
1741223952.540594122 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=153 ms
1741223952.746860304 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=155 ms
1741223952.916632745 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=122 ms
1741223953.059345638 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=115 ms
1741223953.133265137 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=134 ms
1741223953.231755134 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=134 ms
1741223953.353302598 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=153 ms
1741223953.452991619 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=148 ms
1741223953.567770946 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=162 ms
1741223953.968255064 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=152 ms
1741223954.074098209 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=156 ms
1741223954.343306667 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=116 ms
1741223954.458270997 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=127 ms
1741223954.529816448 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=99.2 ms
1741223954.620228280 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=86.7 ms
1741223954.725681419 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=93.7 ms
1741223954.819026311 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=88.4 ms
1741223954.949193950 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=116 ms
1741223955.056460125 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=119 ms
1741223955.170840443 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=132 ms
1741223955.236942784 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=94.6 ms
1741223955.340868891 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=99.8 ms
1741223955.462817362 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=121 ms
1741223955.551298156 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=107 ms
1741223955.648603128 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=102 ms
1741223955.772351638 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=122 ms
1741223955.877218763 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=126 ms
1741223955.980540858 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=130 ms
1741223956.152054335 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=101 ms
1741223956.274455816 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=122 ms
1741223956.396407289 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=138 ms
1741223956.503298455 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=144 ms
1741223956.614719714 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=155 ms
1741223956.710971665 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=150 ms
1741223956.935668221 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=166 ms
1741223957.125917077 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=153 ms
1741223957.229494177 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=156 ms
1741223957.308346775 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=129 ms
1741223957.402270679 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=124 ms
1741223957.504268747 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=126 ms
1741223957.603429757 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=123 ms
1741223957.727124265 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=145 ms
1741223957.843649628 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=158 ms
1741223958.043698682 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=158 ms
1741223958.241525693 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=146 ms
1741223958.398777881 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=102 ms
1741223958.515388245 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=115 ms
