1741224197.586013958 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224197.599745237 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=29.0 ms
1741224197.782590944 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=124 ms
1741224197.973098806 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=210 ms
1741224198.200300412 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=335 ms
1741224198.399508452 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=423 ms
1741224198.622886980 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=539 ms
1741224198.849115567 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=660 ms
1741224199.046325564 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=755 ms
1741224199.170962091 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=776 ms
1741224199.959047069 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=741 ms
1741224200.061385143 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=635 ms
1741224200.107929087 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=576 ms
1741224200.208707130 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=465 ms
1741224200.379351589 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=426 ms
1741224200.484414719 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=431 ms
1741224200.580914675 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=427 ms
1741224200.767892466 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=410 ms
1741224200.873072598 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=413 ms
1741224201.173637692 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=512 ms
1741224201.287535001 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=522 ms
1741224201.382139919 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=517 ms
1741224201.490423114 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=523 ms
1741224201.584883029 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=511 ms
1741224201.684636051 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=501 ms
1741224201.782000025 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=495 ms
1741224201.886524144 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=494 ms
1741224201.990079244 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=491 ms
1741224202.082015107 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=479 ms
1741224202.180997114 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=476 ms
1741224202.242158354 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=438 ms
1741224202.291982364 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=386 ms
1741224202.380734164 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=373 ms
