1741225693.797630031 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225693.813864360 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=25.1 ms
1741225693.978040689 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=105 ms
1741225694.071599585 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=94.0 ms
1741225694.204773285 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=127 ms
1741225694.283266877 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=103 ms
1741225694.490468078 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=105 ms
1741225694.517954635 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=32.4 ms
1741225694.635668022 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=44.5 ms
1741225694.906701517 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=108 ms
1741225695.036519149 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=132 ms
1741225695.147625402 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=144 ms
1741225695.259490670 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=159 ms
1741225695.373897989 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=173 ms
1741225695.437461278 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=136 ms
1741225695.630263187 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=128 ms
1741225695.727437157 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=118 ms
1741225695.826149158 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=115 ms
1741225695.941466496 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=127 ms
1741225696.006200809 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=91.5 ms
1741225696.328041334 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=105 ms
1741225696.567254184 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=38.5 ms
1741225696.678701444 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=50.7 ms
