1741225568.365925939 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225568.380194228 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=25.5 ms
1741225568.525609176 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=85.3 ms
1741225568.609298873 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=66.2 ms
1741225568.707401862 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=63.5 ms
1741225568.812261988 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=65.9 ms
1741225568.881424390 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=36.4 ms
1741225568.990092593 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=42.8 ms
1741225569.094223705 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=45.9 ms
1741225569.175197346 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=23.3 ms
1741225569.276397398 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=24.5 ms
1741225569.377428447 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=25.3 ms
1741225569.484639620 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=31.0 ms
1741225569.683055643 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=24.4 ms
1741225569.788203774 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=28.7 ms
1741225569.883785712 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=24.3 ms
1741225569.986293790 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=23.5 ms
1741225570.091661927 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=24.2 ms
1741225570.194112004 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=27.9 ms
1741225570.293993029 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=28.0 ms
1741225570.391597008 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=25.0 ms
1741225570.495439113 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=24.5 ms
1741225570.598907211 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=27.4 ms
1741225570.728767844 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=54.5 ms
1741225570.818184657 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=44.2 ms
1741225571.008935524 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=27.6 ms
1741225571.343238303 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=54.2 ms
1741225571.438423232 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=48.7 ms
1741225571.555040596 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=62.9 ms
1741225571.645385428 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=52.8 ms
1741225571.717489890 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=23.0 ms
1741225571.842415423 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=47.2 ms
1741225571.931486229 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=35.0 ms
1741225572.130075255 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=132 ms
1741225572.312710958 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=207 ms
1741225572.559356958 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=253 ms
1741225572.631473420 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=225 ms
1741225572.720323222 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=203 ms
1741225572.843098711 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=232 ms
1741225572.915424177 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=202 ms
1741225573.037895660 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=122 ms
1741225573.226739489 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=107 ms
1741225573.348796964 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=123 ms
1741225573.446336941 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=121 ms
1741225573.600839074 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=70.9 ms
1741225573.712259332 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=83.5 ms
1741225573.818167480 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=88.2 ms
1741225573.899057120 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=69.0 ms
1741225573.979933760 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=49.0 ms
1741225574.189720013 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=49.2 ms
1741225574.375361777 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=24.4 ms
1741225574.486254025 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=34.2 ms
1741225574.607834490 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=56.5 ms
1741225574.825180897 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=71.7 ms
1741225574.936724159 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=82.9 ms
1741225575.043669327 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=88.5 ms
1741225575.092810323 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=36.5 ms
1741225575.239344294 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=80.6 ms
1741225575.326553062 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=68.4 ms
1741225575.427297105 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=67.3 ms
1741225575.703634708 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=33.3 ms
1741225575.811779900 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=34.8 ms
1741225575.909411880 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=32.9 ms
1741225575.997564667 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=23.2 ms
1741225576.098118706 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=22.6 ms
1741225576.206742908 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=27.0 ms
1741225576.331279433 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=48.6 ms
1741225576.434530527 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=51.3 ms
1741225576.547431816 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=63.4 ms
1741225576.641481723 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=56.7 ms
1741225576.756238049 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=71.4 ms
1741225576.839189731 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=49.5 ms
1741225576.954286065 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=62.7 ms
1741225577.144474921 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=51.1 ms
1741225577.343570957 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=41.6 ms
1741225577.438272877 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=38.3 ms
1741225577.739255980 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=24.7 ms
1741225577.837419970 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=25.6 ms
1741225577.958784431 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=46.5 ms
1741225578.070299692 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=58.0 ms
1741225578.284517035 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=64.2 ms
1741225578.353616436 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=34.7 ms
1741225578.483882077 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=63.6 ms
1741225578.583708101 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=60.2 ms
1741225578.678041014 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=54.6 ms
1741225578.860789719 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=135 ms
1741225578.948944507 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=120 ms
1741225579.040014353 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=108 ms
1741225579.164339873 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=128 ms
1741225579.258737787 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=124 ms
1741225579.345477546 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=111 ms
1741225579.436608393 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=98.7 ms
1741225579.533813364 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=96.3 ms
1741225579.640903535 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=104 ms
1741225579.727999301 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=91.0 ms
1741225579.826980308 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=88.1 ms
1741225579.919224178 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=77.0 ms
1741225580.011329045 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=71.4 ms
1741225580.107693999 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=67.3 ms
