1741225446.315579354 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225446.327709600 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=25.4 ms
1741225446.413229334 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=22.8 ms
1741225446.517412447 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=22.8 ms
1741225446.614494415 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=22.1 ms
1741225446.716037474 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=23.1 ms
1741225446.925240715 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=23.7 ms
1741225447.025487748 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=25.8 ms
1741225447.124416753 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=25.2 ms
1741225447.228773869 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=24.2 ms
1741225447.672489865 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=161 ms
1741225447.902385526 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=283 ms
1741225447.945049391 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=230 ms
1741225447.995227408 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=176 ms
1741225448.083710202 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=166 ms
1741225448.198019520 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=177 ms
1741225448.311821827 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=89.0 ms
1741225448.422314068 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=93.0 ms
1741225448.507673799 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=81.7 ms
1741225448.586875404 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=60.3 ms
1741225448.700825714 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=65.6 ms
1741225448.812423977 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=77.7 ms
1741225448.906000874 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=73.6 ms
1741225448.970640185 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=36.6 ms
1741225449.087239549 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=50.0 ms
1741225449.191982672 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=54.5 ms
1741225449.260809068 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=25.4 ms
1741225449.361741114 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=23.2 ms
1741225449.650437968 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=110 ms
1741225450.024939560 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=277 ms
1741225450.194348994 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=345 ms
1741225450.292655988 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=338 ms
1741225450.332150789 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=277 ms
1741225450.407089308 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=248 ms
1741225450.461716416 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=204 ms
1741225450.551045227 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=191 ms
1741225450.712448499 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=48.5 ms
1741225450.926588841 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=38.5 ms
1741225450.996332255 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=24.2 ms
1741225451.101730392 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=30.4 ms
1741225451.216570721 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=43.5 ms
1741225451.301720447 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=24.5 ms
1741225451.402362488 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=24.2 ms
1741225451.502513518 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=24.3 ms
1741225451.723051990 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=33.3 ms
1741225451.854214649 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=62.0 ms
1741225451.961386821 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=73.3 ms
1741225452.060312828 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=69.9 ms
1741225452.163647922 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=73.4 ms
1741225452.261312902 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=69.8 ms
1741225452.329380283 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=34.6 ms
1741225452.633450447 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=24.5 ms
1741225452.740087610 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=29.8 ms
1741225452.964034150 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=52.3 ms
1741225453.050176897 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=38.7 ms
1741225453.153389990 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=36.9 ms
1741225453.245432856 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=30.8 ms
1741225453.544773926 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=23.5 ms
1741225453.675095568 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=46.7 ms
1741225454.028204728 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=89.6 ms
1741225454.245763140 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=109 ms
1741225454.338672023 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=93.8 ms
1741225454.458974463 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=116 ms
1741225454.530260908 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=84.4 ms
1741225454.634336018 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=87.6 ms
1741225454.840222193 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=85.4 ms
1741225454.902489455 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=48.0 ms
1741225454.995682345 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=37.7 ms
1741225455.099833457 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=41.3 ms
1741225455.333871202 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=70.4 ms
1741225455.600498607 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=24.0 ms
1741225455.711077849 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=37.2 ms
1741225455.799556643 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=24.4 ms
1741225455.905785797 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=24.2 ms
1741225456.005650822 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=23.9 ms
1741225456.106332863 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=25.1 ms
1741225456.203722838 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=22.4 ms
1741225456.308292958 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=23.2 ms
1741225456.413197085 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=23.1 ms
1741225456.520901269 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=31.7 ms
1741225456.613852154 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=24.6 ms
1741225456.715523215 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=25.4 ms
1741225456.925437471 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=24.0 ms
1741225457.023253454 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=22.9 ms
1741225457.121507446 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=22.6 ms
1741225457.225106547 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=24.8 ms
1741225457.431794738 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=24.4 ms
